Date,Ranking,results,Competition,Matchday
2017-08-13,,L,Acup,0
2017-08-19,1,W,League,1
2017-08-26,2,W,League,2
2017-09-09,1,W,League,3
2017-09-12,,L,European,4
2017-09-17,1,W,League,5
2017-09-20,2,W,League,6
2017-09-23,2,W,League,7
2017-09-27,,W,European,8
2017-10-01,2,D,League,9
2017-10-14,2,L,League,10
2017-10-18,,W,European,11
2017-10-22,4,W,League,12
2017-10-25,4,W,League,13
2017-10-28,4,W,League,14
2017-10-31,,D,European,15
2017-11-05,4,W,League,16
2017-11-19,3,L,League,17
2017-11-22,,D,European,18
2017-11-26,5,W,League,19
2017-12-01,3,W,League,20
2017-12-05,,W,European,21
2017-12-09,3,D,League,22
2017-12-17,3,W,League,23
2017-12-20,,W,Acup,24
2017-12-23,2,W,League,25
2017-12-30,2,W,League,26
2018-01-03,,W,Acup,27
2018-01-06,2,W,League,28
2018-01-22,2,W,League,29
2018-01-27,2,W,League,30
2018-01-30,,W,Acup,31
2018-02-04,2,W,League,32
2018-02-09,2,W,League,33
2018-02-13,,D,European,34
2018-02-18,2,W,League,35
2018-02-28,,W,Acup,36
2018-03-03,2,W,League,37
2018-03-07,,W,European,38
2018-03-11,1,W,League,39
2018-03-14,2,W,League,40
2018-03-17,1,D,League,41
2018-03-31,1,W,League,42
2018-04-03,,L,European,43
2018-04-07,1,W,League,44
2018-04-11,,L,European,45
2018-04-15,1,W,League,46
2018-04-18,1,D,League,47
2018-04-22,1,L,League,48
2018-04-28,1,W,League,49
2018-05-05,1,W,League,50
2018-05-09,,W,Acup,51
2018-05-13,1,D,League,52
2018-05-19,1,W,League,53
