Date,Ranking,results,Competition,Matchday
2017-08-13,,W,Acup,0
2017-08-20,5,D,League,1
2017-08-27,11,W,League,2
2017-09-10,8,W,League,3
2017-09-14,,W,European,4
2017-09-17,4,W,League,5
2017-09-20,4,L,League,6
2017-09-24,7,W,League,7
2017-09-28,,W,European,8
2017-10-01,5,W,League,9
2017-10-14,4,W,League,10
2017-10-19,,W,European,11
2017-10-22,3,W,League,12
2017-10-25,3,W,League,13
2017-10-29,3,W,League,14
2017-11-02,,W,European,15
2017-11-18,2,L,League,16
2017-11-23,,D,European,17
2017-11-26,4,D,League,18
2017-12-03,5,W,League,19
2017-12-07,,L,European,20
2017-12-11,5,L,League,21
2017-12-14,,W,Acup,22
2017-12-17,5,D,League,23
2017-12-23,5,W,League,24
2017-12-26,,W,Acup,25
2017-12-30,5,D,League,26
2018-01-06,5,W,League,27
2018-01-21,3,W,League,28
2018-01-24,3,W,League,29
2018-01-28,3,L,League,30
2018-01-31,,D,Acup,31
2018-02-05,3,L,League,32
2018-02-10,3,L,League,33
2018-02-15,,L,European,34
2018-02-19,5,W,League,35
2018-02-22,,W,European,36
2018-02-25,4,W,League,37
2018-02-28,,L,Acup,38
2018-03-03,3,L,League,39
2018-03-08,,D,European,40
2018-03-11,4,D,League,41
2018-03-15,,W,European,42
2018-03-18,4,D,League,43
2018-03-31,5,W,League,44
2018-04-05,,W,European,45
2018-04-08,5,W,League,46
2018-04-12,,L,European,47
2018-04-15,4,D,League,48
2018-04-18,4,W,League,49
2018-04-22,4,W,League,50
2018-04-29,4,W,League,51
2018-05-06,4,D,League,52
2018-05-13,4,D,League,53
2018-05-20,4,L,League,54
