Date,Ranking,results,Competition,Matchday
2017-08-20,3,W,League,0
2017-08-26,7,L,League,1
2017-09-12,,D,European,2
2017-09-16,8,W,League,3
2017-09-20,8,W,League,4
2017-09-23,6,W,League,5
2017-09-27,,W,European,6
2017-10-01,4,W,League,7
2017-10-14,5,L,League,8
2017-10-18,,D,European,9
2017-10-22,5,W,League,10
2017-10-25,5,W,League,11
2017-10-28,5,W,League,12
2017-10-31,,W,European,13
2017-11-05,5,W,League,14
2017-11-18,5,W,League,15
2017-11-22,,L,European,16
2017-11-26,3,D,League,17
2017-12-01,4,W,League,18
2017-12-05,,W,European,19
2017-12-10,4,D,League,20
2017-12-16,4,W,League,21
2017-12-20,,L,Acup,22
2017-12-23,4,L,League,23
2017-12-30,4,D,League,24
2018-01-06,4,L,League,25
2018-01-21,5,D,League,26
2018-01-24,11,D,League,27
2018-01-28,5,L,League,28
2018-02-04,5,W,League,29
2018-02-11,5,W,League,30
2018-02-17,4,W,League,31
2018-02-21,,L,European,32
2018-02-25,3,L,League,33
2018-03-03,5,W,League,34
2018-03-09,3,W,League,35
2018-03-13,,W,European,36
2018-03-18,3,W,League,37
2018-03-31,3,D,League,38
2018-04-04,,L,European,39
2018-04-07,3,L,League,40
2018-04-10,,W,European,41
2018-04-15,3,D,League,42
2018-04-18,3,W,League,43
2018-04-21,3,W,League,44
2018-04-24,,L,European,45
2018-04-28,3,W,League,46
2018-05-02,,L,European,47
2018-05-06,3,W,League,48
2018-05-13,3,D,League,49
2018-05-20,3,W,League,50
